traj_id,t,x,z,theta,xq_dot,zq_dot,theta_dot,l,phi,l_dot,phi_dot,error_x,error_z,error_theta,error_phi,error_l,u_x,u_z,u_theta,u_phi,u_l
0,10.589999999999819,3.999342486093264,4.988989760767013,6.847734206164006e-05,0.0006168251600948755,0.001420759586731512,-7.488931237481007e-05,1.0,-7.689030353474701e-05,0.0,0.00019449048842785569,0.0006637275473417859,0.011024456001338834,-1.3762482942861003e-07,7.884256341466403e-05,0.0,-0.0022564094537997903,1.5968231664413226,-2.523682699613844e-06,0.0015786914473417887,0.0
0,10.599999999999818,3.999348609344122,4.9890039592022255,6.772446735930957e-05,0.0006078444810878756,0.001418927455815624,-7.568562809128816e-05,1.0,-7.495300138100451e-05,0.0,0.00019295773735371897,0.0006575139067361846,0.01101023923298694,-1.3357878818806546e-07,7.689030353474701e-05,0.0,-0.0021962574728320305,1.5968233644854073,-2.3889471494241356e-06,0.0015258051540756013,0.0
0,10.609999999999818,3.9993546433733593,4.989018139327944,6.696385324470506e-05,0.000598980941245735,0.0014170976878767501,-7.643719482961364e-05,1.0,-7.303138929838492e-05,0.0,0.00019135283609188376,0.000651390655877826,0.010996040797774498,-1.2950282672180005e-07,7.495300138100451e-05,0.0,-0.0021367757830077494,1.5968235622562494,-2.2547002151478363e-06,0.0014736691799331345,0.0
0,10.619999999999818,3.9993605893554243,4.989032301167781,6.619594638649452e-05,0.0005902351416254318,0.0014152702797933226,-7.7144176812496e-05,1.0,-7.11261779183138e-05,0.0,0.00018967795996831092,0.0006453566266406696,0.01098186067205642,-1.2540017822729632e-07,7.303138929838492e-05,0.0,-0.0020779820714622588,1.5968237597554944,-2.1209459490173998e-06,0.0014222968459037138,0.0
0,10.629999999999818,3.999366448470466,4.9890464447453216,6.542119161196849e-05,0.0005816076212595858,0.0014134452284473558,-7.780677809270994e-05,1.0,-6.923805608453306e-05,0.0,0.00018793529093054685,0.000639410644575733,0.010967698832218709,-1.2127412821197271e-07,7.11261779183138e-05,0.0,-0.0020198933213180226,1.5968239569839622,-1.9878038402297376e-06,0.0013717007855209642,0.0
0,10.639999999999818,3.9993722219037156,4.989060570084116,6.464003149169236e-05,0.0005730988577383022,0.0014116225307252129,-7.842524596251618e-05,1.0,-6.736769079471344e-05,0.0,0.0001861270159891571,0.0006335515295341487,0.010953555254678449,-1.1712803463818846e-07,6.923805608453306e-05,0.0,-0.001962525813627991,1.5968241539425378,-1.8554036096319509e-06,0.0013218929490236954,0.0
0,10.649999999999817,3.999377910844876,4.989074677207687,6.385290601353301e-05,0.0005647092678364509,0.0014098021835183964,-7.899984966935388e-05,1.0,-6.551572715744289e-05,0.0,0.00018425532569962656,0.0006277780962844481,0.010939429915883814,-1.1296517436329889e-07,6.736769079471344e-05,0.0,-0.0019058951293651205,1.5968243506321715,-1.7238111209431407e-06,0.0012728846079135582,0.0
0,10.659999999999817,3.999383516487516,4.989088766139522,6.306025239444937e-05,0.0005564392081694117,0.0014079841837133285,-7.95308741473734e-05,1.0,-6.368278836425883e-05,0.0,0.00018232241266924684,0.0006220891551240726,0.010925322792313175,-1.0878870506770644e-07,6.551572715744289e-05,0.0,-0.0018500161514580782,1.5968245470529574,-1.5930734337942117e-06,0.0012246863598150634,0.0
0,10.669999999999817,3.9993890400284733,4.989102836903081,6.226250495581735e-05,0.0005482889758670071,0.0014061685282248668,-8.001861357903092e-05,1.0,-6.186947567652585e-05,0.0,0.00018033047008017395,0.0006164835124837786,0.010911233860477765,-1.0460162865533944e-07,6.368278836425883e-05,0.0,-0.0017949030684825118,1.5968247432077942,-1.4632182947133833e-06,0.0011773081336541441,0.0
0,10.679999999999817,3.999394482667262,4.9891168895217906,6.146009484009053e-05,0.0005402588092665595,0.00140435521396495,-8.046340956633237e-05,1.0,-6.00763684270059e-05,0.0,0.00017828169023105097,0.0006109599715267144,0.010897163096919016,-1.0040706842897533e-07,6.186947567652585e-05,0.0,-0.0017405693762633234,1.5968249390969511,-1.3343879623236145e-06,0.0011307591952025822,0.0
